cliente_id,edad,genero,region,visitas_mensuales,numero_compras,devoluciones,metodo_pago,reseña_score,tipo_cliente,monto_compra
1,78,Masculino,Centro,8,7,1,Tarjeta,3.8,Frecuente,585.04
2,61,Femenino,Norte,8,3,0,Tarjeta,2.0,Premium,436.32
3,78,Masculino,Centro,13,4,1,Tarjeta,4.8,Frecuente,528.36
4,18,Femenino,Sur,10,8,1,Transferencia,2.4,Frecuente,407.91
5,44,Femenino,Norte,4,5,0,Transferencia,1.5,Ocasional,231.84
6,50,Masculino,Sur,11,4,1,Tarjeta,1.0,Premium,533.88
7,54,Masculino,Norte,5,11,0,Transferencia,3.2,Frecuente,712.6
8,33,Femenino,Sur,19,7,1,Tarjeta,2.8,Ocasional,527.72
9,35,Femenino,Sur,11,6,1,PayPal,2.0,Ocasional,436.44
10,58,Masculino,Norte,7,7,2,Tarjeta,3.1,Frecuente,401.42
11,75,Femenino,Centro,7,10,1,PayPal,2.6,Frecuente,766.28
12,73,Masculino,Centro,13,5,0,Tarjeta,1.1,Ocasional,349.59
13,38,Masculino,Norte,5,10,0,,3.2,Ocasional,457.72
14,49,Femenino,Norte,18,7,0,Débito,4.2,Ocasional,408.03
15,48,Masculino,Norte,8,3,1,,1.4,Frecuente,343.52
16,65,Femenino,Centro,9,5,0,Tarjeta,1.0,Premium,350.4
17,78,Femenino,Norte,12,7,1,PayPal,4.4,Ocasional,365.01
18,63,Masculino,Norte,10,4,0,PayPal,2.2,Ocasional,409.57
19,25,Masculino,Norte,8,4,1,Tarjeta,2.2,Ocasional,149.15
20,48,Masculino,Sur,11,3,1,Débito,2.3,Frecuente,451.41
21,62,Femenino,Norte,8,6,0,Transferencia,3.0,Ocasional,345.44
22,48,Femenino,Norte,10,2,1,Transferencia,4.0,Frecuente,252.46
23,63,Femenino,Centro,9,5,0,PayPal,1.8,Ocasional,484.55
24,41,Masculino,Norte,11,7,1,Débito,4.1,Ocasional,548.57
25,35,Masculino,Centro,10,3,0,,2.4,Frecuente,229.16
26,30,Femenino,Norte,6,7,2,Tarjeta,2.8,Ocasional,492.55
27,77,Masculino,Sur,10,3,0,,3.1,Ocasional,205.6
28,52,Masculino,Centro,8,5,1,Débito,4.7,Frecuente,438.23
29,48,Masculino,Sur,9,7,0,Débito,2.4,Premium,589.78
30,32,Otro,Centro,19,6,1,PayPal,2.7,Ocasional,503.18
31,20,Masculino,Centro,9,3,1,Tarjeta,1.7,Frecuente,464.55
32,65,Masculino,Sur,10,0,1,Transferencia,4.8,Premium,338.65
33,71,Masculino,Norte,8,6,1,PayPal,2.0,Ocasional,406.71
34,19,Masculino,Centro,10,6,1,Transferencia,4.5,Premium,849.95
35,18,Masculino,Sur,12,3,1,Transferencia,3.4,Frecuente,407.28
36,36,Femenino,Sur,6,5,1,PayPal,1.7,Premium,385.87
37,55,Femenino,Norte,11,7,0,PayPal,3.9,Premium,878.43
38,18,Masculino,Centro,20,6,0,Débito,4.0,Frecuente,759.08
39,36,Femenino,Norte,16,6,1,PayPal,4.1,Frecuente,736.7
40,63,Masculino,Norte,5,7,0,Transferencia,1.7,Ocasional,443.76
41,72,Masculino,Norte,9,4,0,Tarjeta,1.8,Frecuente,399.86
42,77,Femenino,Centro,11,4,1,Transferencia,1.1,Frecuente,647.41
43,64,Femenino,Centro,8,8,0,PayPal,4.9,Ocasional,452.97
44,23,Masculino,Sur,12,4,1,,1.1,Frecuente,553.9
45,57,Femenino,Sur,12,3,2,Transferencia,1.7,Frecuente,236.5
46,51,Masculino,Sur,13,6,2,PayPal,4.4,Ocasional,381.63
47,76,Femenino,Norte,13,10,1,Tarjeta,2.1,Premium,858.21
48,44,Femenino,Sur,9,6,2,PayPal,2.5,Frecuente,383.33
49,68,Masculino,Sur,7,5,1,Transferencia,2.5,Frecuente,422.87
50,54,Masculino,Centro,7,5,2,Transferencia,2.6,Ocasional,365.73
51,49,Femenino,Norte,13,7,1,Tarjeta,2.8,Ocasional,592.55
52,37,Masculino,Norte,6,5,0,Tarjeta,3.5,Frecuente,392.96
53,70,Femenino,Norte,12,3,1,PayPal,4.8,Ocasional,228.48
54,46,Masculino,Norte,7,7,0,PayPal,4.6,Premium,373.36
55,43,Femenino,Sur,9,9,2,Débito,2.8,Ocasional,458.86
56,50,Masculino,Sur,12,6,0,Tarjeta,1.3,Ocasional,373.89
57,49,Masculino,Sur,6,4,0,Tarjeta,4.5,Ocasional,337.32
58,28,Masculino,Centro,20,2,0,Débito,3.2,Frecuente,613.95
59,56,Masculino,Centro,4,3,1,,1.9,Frecuente,257.3
60,19,Masculino,Norte,8,5,1,Transferencia,2.8,Frecuente,304.04
61,58,Femenino,Norte,12,10,0,Transferencia,2.4,Frecuente,594.65
62,21,Femenino,Norte,10,8,1,Débito,1.1,Premium,462.05
63,16,Femenino,Norte,13,8,1,Tarjeta,4.4,Ocasional,409.3
64,27,Femenino,Centro,10,4,1,PayPal,4.1,Ocasional,526.67
65,50,Masculino,Norte,12,9,0,Transferencia,4.0,Ocasional,581.32
66,74,Masculino,Norte,7,12,0,Tarjeta,4.2,Ocasional,481.34
67,26,Otro,Centro,20,3,1,Transferencia,4.4,Ocasional,392.64
68,38,Femenino,Centro,11,11,1,Débito,3.7,Frecuente,662.84
69,29,Femenino,Norte,10,10,1,PayPal,3.9,Frecuente,713.88
70,34,Masculino,Sur,10,3,1,Transferencia,5.0,Ocasional,188.34
71,52,Masculino,Norte,6,10,0,PayPal,4.3,Ocasional,477.84
72,31,Masculino,Centro,16,5,1,PayPal,1.1,Frecuente,701.62
73,59,Masculino,Norte,6,5,1,Débito,3.1,Frecuente,323.57
74,43,Femenino,Sur,9,9,1,Transferencia,1.9,Ocasional,333.74
75,77,Masculino,Centro,7,8,1,Débito,,Frecuente,626.95
76,60,Otro,Centro,12,9,1,Transferencia,3.7,Frecuente,709.49
77,46,Femenino,Centro,5,8,1,Tarjeta,2.4,Ocasional,461.29
78,68,Masculino,Sur,8,4,1,Débito,4.1,Ocasional,299.08
79,22,Otro,Sur,14,10,0,Transferencia,2.4,Frecuente,627.74
80,61,Femenino,,9,5,0,Débito,1.8,Premium,618.82
81,67,Masculino,Sur,7,8,0,Tarjeta,1.6,Ocasional,482.14
82,42,Masculino,Sur,9,3,1,Débito,1.9,Frecuente,426.39
83,32,Femenino,Norte,10,7,0,Débito,1.2,Frecuente,563.65
84,22,Masculino,Sur,10,7,0,PayPal,,Frecuente,835.95
85,30,Femenino,Norte,20,5,2,Transferencia,4.8,Ocasional,729.26
86,79,Masculino,Norte,10,7,0,Débito,2.4,Frecuente,404.55
87,68,Masculino,Sur,10,5,1,Tarjeta,4.6,Ocasional,253.56
88,55,Femenino,Norte,9,8,2,PayPal,4.0,Frecuente,410.89
89,27,Femenino,Norte,13,3,1,PayPal,1.8,Ocasional,238.0
90,70,Femenino,Norte,11,6,1,Débito,2.3,Ocasional,328.73
91,23,Masculino,Norte,5,7,0,Tarjeta,1.0,Ocasional,270.6
92,17,Masculino,Centro,11,3,0,Débito,3.0,Frecuente,396.66
93,59,Masculino,Sur,13,4,1,Tarjeta,2.4,Frecuente,564.11
94,74,Femenino,Sur,10,5,0,Tarjeta,4.8,Frecuente,364.32
95,53,Masculino,Centro,11,5,1,Tarjeta,4.4,Premium,524.33
96,71,Masculino,Centro,8,7,0,PayPal,3.9,Frecuente,433.36
97,41,Femenino,Centro,9,6,0,Tarjeta,2.1,Ocasional,562.73
98,66,Masculino,Norte,11,8,1,Transferencia,2.6,Ocasional,488.29
99,36,Femenino,Centro,9,9,1,PayPal,3.2,Ocasional,654.33
100,72,Masculino,Norte,12,4,0,Débito,4.5,Frecuente,592.17
101,65,Masculino,Norte,9,2,0,Débito,3.6,Premium,446.12
102,28,Femenino,Norte,9,7,0,PayPal,1.2,Premium,483.61
103,34,Masculino,Centro,9,4,0,PayPal,3.2,Frecuente,405.12
104,33,Masculino,Norte,4,7,0,Transferencia,3.2,Ocasional,303.6
105,17,Masculino,Centro,9,2,0,PayPal,4.5,Frecuente,361.04
106,67,Masculino,Norte,12,5,0,Tarjeta,4.6,Ocasional,234.99
107,60,Masculino,Sur,4,5,1,PayPal,4.9,Ocasional,292.62
108,69,Masculino,Sur,8,6,1,Transferencia,2.7,Frecuente,390.31
109,57,Femenino,Sur,7,9,0,Débito,4.0,Ocasional,555.46
110,64,Femenino,Centro,10,5,2,Débito,4.8,Premium,378.48
111,72,Femenino,Centro,9,8,1,PayPal,4.0,Ocasional,506.11
112,43,Femenino,Centro,6,5,1,Tarjeta,4.1,Premium,654.59
113,65,Masculino,Sur,14,5,1,Transferencia,3.6,Premium,978.52
114,38,Masculino,Centro,8,3,2,Débito,2.3,Ocasional,291.73
115,19,Masculino,Sur,7,10,2,Débito,2.2,Ocasional,519.15
116,19,Femenino,Norte,12,5,0,Tarjeta,1.3,Frecuente,668.98
117,27,Femenino,Sur,5,6,0,Tarjeta,3.0,Premium,561.19
118,37,Femenino,Sur,14,8,2,Débito,,Ocasional,378.26
119,41,Masculino,Norte,6,1,2,Débito,4.0,Ocasional,173.66
120,55,Masculino,Norte,6,5,0,,3.4,Premium,468.61
121,57,Femenino,Sur,7,7,1,Débito,4.7,Ocasional,222.78
122,50,Masculino,Centro,14,6,1,Débito,1.6,Premium,787.91
123,19,Masculino,Centro,11,5,1,Transferencia,2.4,Ocasional,189.36
124,27,Femenino,Centro,15,5,0,Transferencia,4.6,Ocasional,541.16
125,19,Femenino,Centro,11,6,0,PayPal,4.1,Frecuente,478.29
126,67,Femenino,Centro,12,6,1,Débito,3.0,Frecuente,477.69
127,72,Masculino,Sur,8,3,0,PayPal,1.6,Ocasional,267.3
128,46,Masculino,Norte,10,5,1,Tarjeta,1.7,Frecuente,504.64
129,22,Masculino,Sur,10,5,1,Transferencia,4.2,Ocasional,385.72
130,25,Masculino,Centro,6,7,2,PayPal,3.0,Ocasional,516.6
131,39,Masculino,Sur,10,9,0,Transferencia,4.3,Frecuente,783.71
132,30,Masculino,Centro,8,4,2,Débito,4.4,Ocasional,259.55
133,54,Femenino,Norte,11,4,2,Tarjeta,1.8,Frecuente,324.04
134,35,Femenino,Centro,11,1,0,Transferencia,3.3,Frecuente,418.97
135,73,Femenino,Centro,10,8,2,Tarjeta,2.2,Frecuente,570.93
136,22,Masculino,Sur,7,7,1,PayPal,2.4,Ocasional,585.1
